date,confirmed,deaths,recovered
2020-01-22,557,17,30.0
2020-01-23,657,18,32.0
2020-01-24,944,26,39.0
2020-01-25,1437,42,42.0
2020-01-26,2120,56,56.0
2020-01-27,2929,82,65.0
2020-01-28,5580,131,108.0
2020-01-29,6169,133,126.0
2020-01-30,8237,172,143.0
2020-01-31,9927,214,222.0
2020-02-01,12038,260,284.0
2020-02-02,16787,364,466.0
2020-02-03,19887,428,611.0
2020-02-04,23899,494,830.0
2020-02-05,27644,566,1083.0
2020-02-06,30806,636,1437.0
2020-02-07,34400,721,1930.0
2020-02-08,37131,808,2501.0
2020-02-09,40162,908,3094.0
2020-02-10,42771,1015,3758.0
2020-02-11,44814,1115,4466.0
2020-02-12,45232,1120,4904.0
2020-02-13,60384,1373,5997.0
2020-02-14,66912,1525,7703.0
2020-02-15,69055,1668,9005.0
2020-02-16,71238,1772,10426.0
2020-02-17,73273,1870,12077.0
2020-02-18,75155,2010,13829.0
2020-02-19,75655,2125,15549.0
2020-02-20,76216,2250,17543.0
2020-02-21,76846,2254,18155.0
2020-02-22,78608,2462,22059.0
2020-02-23,78990,2473,22526.0
2020-02-24,79558,2633,24283.0
2020-02-25,80412,2713,26902.0
2020-02-26,81384,2774,29352.0
2020-02-27,82728,2817,32208.0
2020-02-28,84152,2876,35596.0
2020-02-29,86023,2946,38609.0
2020-03-01,88402,3000,41517.0
2020-03-02,90382,3090,44394.0
2020-03-03,92994,3164,46990.0
2020-03-04,95338,3260,49930.0
2020-03-05,98078,3355,52551.0
2020-03-06,102062,3469,54614.0
2020-03-07,106199,3573,57106.0
2020-03-08,109997,3815,59440.0
2020-03-09,114292,4009,61240.0
2020-03-10,119051,4284,63147.0
2020-03-11,126527,4636,65742.0
2020-03-12,133283,4957,67071.0
2020-03-13,146479,5460,68998.0
2020-03-14,157367,5886,71364.0
2020-03-15,168600,6557,74773.0
2020-03-16,183167,7268,76827.0
2020-03-17,198347,8119,79571.0
2020-03-18,215909,9075,82058.0
2020-03-19,242996,10217,83699.0
2020-03-20,272527,11791,86144.0
2020-03-21,304954,13599,90390.0
2020-03-22,339169,15428,96607.0
2020-03-23,381724,17524,97095.0
2020-03-24,423607,19950,106614.0
2020-03-25,475088,22921,112320.0
2020-03-26,535902,26174,120691.0
2020-03-27,599833,29813,129404.0
2020-03-28,669415,33862,137704.0
2020-03-29,725931,37681,147160.0
2020-03-30,790942,42051,162496.0
2020-03-31,869384,47219,174960.0
2020-04-01,955741,53863,190500.0
2020-04-02,1038189,60116,207232.0
2020-04-03,1122399,66618,222214.0
2020-04-04,1182520,72977,242221.0
2020-04-05,1254235,78898,255622.0
2020-04-06,1328961,85325,272086.0
2020-04-07,1397899,93842,294812.0
2020-04-08,1480075,101062,323330.0
2020-04-09,1567256,109217,347576.0
2020-04-10,1653678,116958,368619.0
2020-04-11,1729193,123940,394134.0
2020-04-12,1847774,130454,412982.0
2020-04-13,1919606,136967,439604.0
2020-04-14,2004239,144324,464225.0
2020-04-15,2082495,153089,500008.0
2020-04-16,2176963,160801,530159.0
2020-04-17,2264843,169689,555496.0
2020-04-18,2343095,176119,578941.0
2020-04-19,2419417,182220,609837.0
2020-04-20,2495899,188731,631319.0
2020-04-21,2571986,195927,665475.0
2020-04-22,2654024,203206,694294.0
2020-04-23,2736741,210476,722716.0
2020-04-24,2820304,217314,772353.0
2020-04-25,2903509,223364,799239.0
2020-04-26,2974304,228180,827178.0
2020-04-27,3045288,233625,853672.0
2020-04-28,3121120,240254,885915.0
2020-04-29,3198448,247234,926896.0
2020-04-30,3282100,253487,990905.0
2020-05-01,3371047,259074,1027716.0
2020-05-02,3449309,265120,1067311.0
2020-05-03,3523306,269395,1098736.0
2020-05-04,3600943,274240,1131709.0
2020-05-05,3680628,280387,1167206.0
2020-05-06,3771050,287147,1212145.0
2020-05-07,3860188,293013,1250590.0
2020-05-08,3950671,298968,1286019.0
2020-05-09,4035014,303886,1338430.0
2020-05-10,4110237,308224,1371392.0
2020-05-11,4186378,312302,1417379.0
2020-05-12,4271658,318032,1453373.0
2020-05-13,4356006,323469,1508123.0
